,,,,,
codeset,Type,application,Name,FIELDMOBI_DEFAULT,
,,,,,
field,Type,Level,Parent Path,Code,Description
135,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,INTERNS,Interns
136,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,CONSULTANTS,Consultants/ Agents/ Contractors
137,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,WAGES,Wages
138,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_INSURANCE,Employee insurance
139,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,LEGAL_EXPENSES,Employee legal expense
140,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,RECRUITMENT,Recruitment
141,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,MISCELLANEOUS,miscellaneous
142,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_STAY,employee temporary stay
143,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,EMPLOYEE_ACCOMODATION,employee accomodation
144,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,LOAN_INTEREST,Loan interest
145,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,BOND_INTEREST,Bond interest
146,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,INTEREST_LEASE,Interest on lease
147,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,BANK_INTEREST,Bank overdraft interest
148,CHARGECODE,Level_002,CHARGECODE#EMPLOYEE,CREDIT_CARD,Credit card interest
149,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,COUNSEL_EXPENSE,Legal counsel expense
150,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,LITIGATION_COST,Litigation cost
151,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,REGULATORY_COMPLIANCE,Regulatory compliance
152,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,CONTRACTUAL_EXPENSE,Contractual expense
153,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,INVESTIGATION,Investigation
154,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,PENALTIES,Penalties / Fees
155,CHARGECODE,Level_002,CHARGECODE#LEGAL_EXPENSE,LEGAL_RESEARCH,Legal research
156,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,EQUIPMENT_MAINTENANCE,Equipment maintenance
157,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,GROUND_MAINTENANCE,Ground maintenance
158,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,PREVENTIVE_MAINTENANCE,Preventive maintenance
159,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,UTILITY_MAINTENANCE,Utility maintenance
160,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,TRANSPORTATION_COST,Transportation cost
161,CHARGECODE,Level_002,CHARGECODE#MAINTENANCE,ENVIRONMENTAL_EXPENSES,Environmental compliance expenses
162,CHARGECODE,Level_002,CHARGECODE#MARKETING,ADVERTISING_CAMPAIGNS,Advertising campaigns
163,CHARGECODE,Level_002,CHARGECODE#MARKETING,PROMOTIONS,Promotions
164,CHARGECODE,Level_002,CHARGECODE#MARKETING,SPONSORSHIPS,Sponsorships
165,CHARGECODE,Level_002,CHARGECODE#MARKETING,CONTENT_CREATION,Content creation
166,CHARGECODE,Level_002,CHARGECODE#MARKETING,PUBLIC_RELATIONS,Public relations
167,CHARGECODE,Level_002,CHARGECODE#MARKETING,MARKETING_RESEARCH,Marketing research
168,CHARGECODE,Level_002,CHARGECODE#MARKETING,WEBSITE_DEVELOPMENT,Website development
169,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,STATIONERY,Stationery
170,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,PHONE_CHARGES,Phone service charges
171,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,OFFICE_SUPPLY,Office supplies
172,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,SOFTWARE_EXPENSES,Software & Hardware expenses
173,CHARGECODE,Level_002,CHARGECODE#OFFICE_EXPENSE,OFFICE_DECOR,Office decor
174,CHARGECODE,Level_002,CHARGECODE#SAFETY,CLEANING,Hygeine and Cleaning
175,CHARGECODE,Level_002,CHARGECODE#SAFETY,FIRE_SAFETY,Fire safety
176,CHARGECODE,Level_002,CHARGECODE#TAXES,INCOME_TAX,Income tax
177,CHARGECODE,Level_002,CHARGECODE#TAXES,PAYROLL_TAXES,Payroll taxes
178,CHARGECODE,Level_002,CHARGECODE#TAXES,SALES_TAX,Sales tax
179,CHARGECODE,Level_002,CHARGECODE#TAXES,PROPERTY_TAX,Property tax
180,CHARGECODE,Level_002,CHARGECODE#TAXES,EXCISE_TAX,Excise tax
181,CHARGECODE,Level_002,CHARGECODE#TAXES,FRANCHISE_TAXES,Franchise taxes
182,CHARGECODE,Level_002,CHARGECODE#TAXES,GST,GST
183,ASSET,Level_001,ASSET,GENERATOR,Power Generator
184,ASSET,Level_001,ASSET,RENEWABLE_ASSETS,Renewable Energy Assets
185,ASSET,Level_001,ASSET,PRODUCTION_MACHINERY,Production Machinery
186,ASSET,Level_001,ASSET,FURNITURE,Office Furniture
187,ASSET,Level_001,ASSET,INDUSTRIAL_EQUIPMENT,Industrial Equipment
188,ASSET,Level_001,ASSET,STORAGE_SYSTEMS,Storage Systems
189,ASSET,Level_001,ASSET,RETAIL_FIXTURES,Retail Fixtures
190,ASSET,Level_001,ASSET,MEDICAL_EQUIPMENT,Medical Equipment
191,ASSET,Level_001,ASSET,HVAC,HVAC Systems
192,ASSET,Level_001,ASSET,IT_INFRA,IT & Telecom Equipment
193,ASSET,Level_001,ASSET,TRANSPORT_EQP,Transportation Equipment
194,ASSET,Level_001,ASSET,AUTOMOTIVE_EQUIPMENT,Automotive Equipment
195,ASSET,Level_001,ASSET,MEDIA_EQUIPMENT,Media Production Equipment
196,ASSET,Level_001,ASSET,MAINTENANCE_EQUIPMENT,Maintenance Equipment
197,ASSET,Level_001,ASSET,PACKAGING_MACHINERY,Packaging Machinery
198,ASSET,Level_001,ASSET,LAB_EQP,Laboratory Equipment
199,ASSET,Level_001,ASSET,BATTERIES,Batteries & Power Supplies
200,ASSET,Level_001,ASSET,ELECTRONIC_COMPONENTS ,Electronic Components 
201,ASSET,Level_001,ASSET,KITCHEN_EQUIPMENT,Kitchen Equipment
202,ASSET,Level_002,ASSET#GENERATOR,DIESEL_GENERATORS,Diesel Generators
203,ASSET,Level_002,ASSET#GENERATOR,GAS_GENERATORS,Gas Generators
204,ASSET,Level_002,ASSET#GENERATOR,PORTABLE_GENERATORS,Portable Generators
205,ASSET,Level_002,ASSET#GENERATOR,INVERTER,Inverter Generators
206,ASSET,Level_002,ASSET#GENERATOR,INDUSTRIAL_GENERATORS,Industrial Generators
207,ASSET,Level_002,ASSET#GENERATOR,MARINE_GENERATORS,Marine Generators
208,ASSET,Level_002,ASSET#GENERATOR,EMERGENCY_GENERATORS,Emergency Generators
209,ASSET,Level_002,ASSET#GENERATOR,FUELCELL_GENERATORS,Fuel Cell Generators
210,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,SOLAR_PANELS,Solar Panels
211,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,WIND_TURBINES,Wind Turbines
212,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,HYDROELECTRIC_SYSTEMS,Hydroelectric Systems
213,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,GEOTHERMAL_SYSTEMS,Geothermal Systems
214,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,BIOMASS_SYSTEMS,Biomass Systems
215,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,OCEAN_ENERGY,Ocean Energy (Wave & Tidal)
216,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,HYDROPOWER_PLANTS,Hydropower Plants
217,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,SOLARTHERMAL_SYSTEMS,Solar Thermal Systems
218,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,WIND_FARMS,Wind Farms
219,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,HYDROGENENERGY_SYSTEMS,Hydrogen Energy Systems
220,ASSET,Level_002,ASSET#RENEWABLE_ASSETS,BIOFUELSPRODUCTION_SYSTEMS,Biofuels Production Systems
221,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,CNC_MACHINES,CNC Machines
222,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,MOLDING_MACHINES,Injection Molding Machines
223,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,PRESSES,"Presses (Hydraulic, Mechanical)"
224,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,WELDING_MACHINES,Welding Machines
225,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,LASERCUTTING_MACHINES,Laser Cutting Machines
226,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,PRINTERS,3D Printers
227,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,MILLING_MACHINES,Milling Machines
228,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,GRINDERS,Grinders
229,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,ASSEMBLYLINE_MACHINES,Assembly Line Machines
230,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,PACKAGING_MACHINES,Packaging Machines
231,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,BENDING_MACHINES,Bending Machines
232,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,DRILLING_MACHINES,Drilling Machines
233,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,LATHES,Lathes
234,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,CONVEYORS,Conveyors
235,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,ROLLING_MILLS,Rolling Mills
236,ASSET,Level_002,ASSET#PRODUCTION_MACHINERY,MIXING_MACHINES,Mixing Machines
237,ASSET,Level_002,ASSET#FURNITURE,DESKS,Desks
238,ASSET,Level_002,ASSET#FURNITURE,OFFICE_CHAIRS,Office Chairs
239,ASSET,Level_002,ASSET#FURNITURE,FILING_CABINETS,Filing Cabinets
240,ASSET,Level_002,ASSET#FURNITURE,BOOKCASES,Bookcases
241,ASSET,Level_002,ASSET#FURNITURE,CONFERENCE_TABLES,Conference Tables
242,ASSET,Level_002,ASSET#FURNITURE,WORKSTATIONS,Workstations
243,ASSET,Level_002,ASSET#FURNITURE,CUBICLES,Cubicles
244,ASSET,Level_002,ASSET#FURNITURE,RECEPTION_DESKS,Reception Desks
245,ASSET,Level_002,ASSET#FURNITURE,STORAGE_UNITS,Storage Units
246,ASSET,Level_002,ASSET#FURNITURE,TASK_CHAIRS,Task Chairs
247,ASSET,Level_002,ASSET#FURNITURE,LOUNGE_FURNITURE,Lounge Furniture
248,ASSET,Level_002,ASSET#FURNITURE,ARMCHAIRS,Armchairs
249,ASSET,Level_002,ASSET#FURNITURE,CABINETS,Cabinets
250,ASSET,Level_002,ASSET#FURNITURE,BOOKSHELVES,Bookshelves
251,ASSET,Level_002,ASSET#FURNITURE,COAT_RACKS,Coat Racks
252,ASSET,Level_002,ASSET#FURNITURE,SIDE_TABLES,Side Tables
253,ASSET,Level_002,ASSET#FURNITURE,WHITEBOARDS,Whiteboards
254,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,AIR_COMPRESSORS,Air Compressors
255,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,PUMPS,Pumps
256,ASSET,Level_002,ASSET#INDUSTRIAL_EQUIPMENT,GENERATORS,Generators
